experiment_id,description,control_result,test_result,result_type,result_value,metadata_date,metadata_researcher,metadata_location
E129,Analysis of chemical reaction rates at different temperatures,Slow reaction,Rapid reaction at 60°C,reaction_time,15 mins,15/07/2023,Dr. Orange,Lab E
E130,Testing different water purification methods,0.5 ppm contaminants,0.1 ppm contaminants with new method,purity_increase,80%,08/05/2023,Dr. Purple,Lab F
E131,Effects of varying light intensities on solar panel efficiency,80% efficiency,90% efficiency at high intensity,efficiency_gain,10%,20/09/2023,Dr. Gray,Field B
E132,Comparative study of different insulation materials,Standard insulation,Improved thermal resistance with new material,thermal_resistance,High,10/10/2023,Dr. Brown,Lab G
E133,Impact of different exercise regimes on cardiovascular health,Moderate improvement,Significant improvement with high-intensity training,heart_health_index,4.2,05/11/2023,Dr. Pink,Lab H
E134,Study on the durability of new construction materials,5 years,10 years,durability_increase,5,12/12/2023,Dr. Silver,Site A
E135,Effects of different fertilizers on crop yield,500 kg/acre,700 kg/acre,yield_increase,40%,18/12/2023,Dr. Gold,Field C
E136,Study of air quality improvements using different filtration systems,PM2.5 reduction by 30%,PM2.5 reduction by 60% with new system,air_quality_index,2,20/08/2023,Dr. Cyan,Lab J
E137,Effects of UV radiation on bacterial growth,Bacterial growth normal,Bacterial growth reduced by 75%,bacterial_reduction_index,3,15/09/2023,Dr. Magenta,Lab K
E138,Comparison of battery life in different smartphone models,Battery life of 10 hours,Battery life of 15 hours,battery_life_gain,50%,25/11/2023,Dr. Violet,Lab L
E139,Impact of different teaching methods on student performance,Moderate improvement,Significant improvement with interactive learning,performance_index,3.8,10/12/2023,Dr. Indigo,School A
